distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,10,1,0.975,8,11.5,3132.0985,1803.6116090909088,1886.2152999999998,1893.4384,5507,7601
binom,0.5,10,1,0.975,9,11.5,3039.7105,1736.8827545454544,1818.7450999999999,1825.05762,789,1042
binom,0.5,10,1,0.99,0,11.5,3204.642,1952.2796874444446,2044.0074053000003,2068.0876997200003,5497,8212
binom,0.5,10,1,0.99,1,11.5,3378.830716407356,2027.4679075907586,2122.4157798302685,2149.364425035361,4537,4614
binom,0.5,10,1,0.99,2,11.5,3451.187750000001,2030.142316666666,2123.53335,2155.32441,6041,5920
binom,0.5,10,1,0.99,3,11.5,3229.570439179634,1945.565983215386,2043.9348822236914,2087.8893291162653,463,6539
binom,0.5,10,1,0.99,4,11.5,3130.1035,1853.8174657777777,1955.3040946999997,1970.921595,1632,9861
binom,0.5,10,1,0.99,5,11.5,3149.6585,1859.9280388888894,1957.8457000000003,1977.5586250000001,1190,7652
binom,0.5,10,1,0.99,6,11.5,3343.3283475954736,2026.4599504950495,2129.913828429986,2157.8079483026872,2921,6995
binom,0.5,10,1,0.99,7,11.5,3386.4385,2027.640454888889,2129.2884481499996,2150.3022265,5605,1223
binom,0.5,10,1,0.99,8,11.5,3325.8915,2025.50975,2130.6927500000006,2164.6886,8770,704
binom,0.5,10,1,0.99,9,11.5,3234.903,1938.7533763888887,2048.98836655,2054.8144531999997,4331,3194
binom,0.5,10,2,0.95,0,11.5,3047.6027344139643,2002.2261617987856,2071.044372119701,2081.74515361596,2826,754
binom,0.5,10,2,0.95,1,11.5,2930.11029551123,1942.5230348484847,2020.8301950000002,2036.7420749999999,6451,364
binom,0.5,10,2,0.95,2,11.5,2989.312,1954.004228282828,2026.51357,2036.4773999999998,2134,9914
binom,0.5,10,2,0.95,3,11.5,2960.462,1928.148878787878,1978.5387200000002,1988.3399999999995,9926,6034
binom,0.5,10,2,0.95,4,11.5,2934.579,1898.7776106060603,1969.672115,1970.002605,7197,4696
